Source,Target,Effect,Type,PMID,data_source
"RAC1","ARHGAP32","0","Binding","12819203","axel_ppi"
"RAC1","ARHGAP32","0","Binding","12454018","axel_ppi"
"RAC1","ARHGAP32","0","Binding","12531901","axel_ppi"
"SRC","LRP1","0","Binding","11854294","axel_ppi"
"INPP5D","SYK","0","Binding","22267732","axel_ppi"
"CRK","ASAP2","0","Binding","17474147","axel_ppi"
"PRKCA","ITGB1","0","Binding","12138200","axel_ppi"
"PRKCA","ITGB1","0","Binding","10592173","axel_ppi"
"PRKCA","ITGB1","0","Binding","12435334","axel_ppi"
"PLCG1","SRC","0","Binding","7510703","axel_ppi"
"PLCG1","SRC","+","Phosphorylation","8388373","axel_ppi"
"RHOU","PLCG1","0","Binding","15556869","axel_ppi"
"ITGB3","ILK","0","Binding","12372433","axel_ppi"
"PAK1","PXN","0","Binding","11096073","axel_ppi"
"INSR","SH2B1","0","Binding","9742218","axel_ppi"
"INSR","SH2B1","0","Binding","10594240","axel_ppi"
"INSR","SH2B1","0","Binding","16824542","axel_ppi"
"RHOA","MAPK8","0","Binding","15659383","axel_ppi"
"SORBS1","VCL","0","Binding","10592173","axel_ppi"
"SORBS1","VCL","0","Binding","10085297","axel_ppi"
"SORBS1","VCL","0","Binding","12765336","axel_ppi"
"HRAS","TIAM1","0","Binding","12134164","axel_ppi"
"FHL2","ITGB2","0","Binding","10906324","axel_ppi"
"CRKL","PXN","0","Binding","11463817","axel_ppi"
"CRKL","PXN","0","Binding","8978305","axel_ppi"
"CRKL","PXN","+","Binding","10592173","axel_ppi"
"PPP2CA","PXN","0","Binding","10675325","axel_ppi"
"PPP2CA","PXN","0","Binding","10985776","axel_ppi"
"PTPN12","CSK","0","Binding","11432829","axel_ppi"
"PTPN12","CSK","0","Binding","9804817","axel_ppi"
"PTPN12","CSK","0","Binding","11711533","axel_ppi"
"CASP8","VIM","0","Binding","16169070","axel_ppi"
"PTK2","ITGB3","0","Binding","11927607","axel_ppi"
"ITGA6","ITGB1","0","Binding","8143784","axel_ppi"
"ITGA6","ITGB1","0","Binding","11741585","axel_ppi"
"ITGA6","ITGB1","0","Binding","2649503","axel_ppi"
"PTEN","CASP8","0","Binding","15717329","axel_ppi"
"PTPN6","CBL","0","Binding","12176909","axel_ppi"
"SRC","SYK","0","Binding","17353363","axel_ppi"
"CSK","ITGB2","+","Binding","10592173","axel_ppi"
"ARHGEF6","ARHGEF7","0","Binding","15306850","axel_ppi"
"SRC","PLD1","0","Binding","12697812","axel_ppi"
"PTPRH","PXN","0","Binding","11278335","axel_ppi"
"PLCG1","LYN","+","Phosphorylation","7682059","axel_ppi"
"CTTN","ASAP2","0","Binding","15719014","axel_ppi"
"PRKCA","PPP2CA","_","Binding","10592173","axel_ppi"
"PTK2","NCK2","+","Binding","10592173","axel_ppi"
"ARHGEF7","GIT2","0","Binding","11157752","axel_ppi"
"ARHGEF7","GIT2","0","Binding","21295525","axel_ppi"
"ARHGEF7","GIT2","0","Binding","16628223","axel_ppi"
"ACTN1","SORBS2","0","Binding","20886612","axel_ppi"
"VCL","SORBS1","0","Binding","10592173","axel_ppi"
"VCL","SORBS1","0","Binding","12765336","axel_ppi"
"VCL","SORBS1","0","Binding","10085297","axel_ppi"
"GAB1","MAPK1","0","Binding","10593929","axel_ppi"
"PXN","ITGA4","0","Binding","11533025","axel_ppi"
"PXN","ITGA4","0","Binding","11919182","axel_ppi"
"CORO1B","ARPC2","0","Binding","17350576","axel_ppi"
"SRCIN1","SRC","0","Binding","17525734","axel_ppi"
"ITGB2","FHL2","0","Binding","10906324","axel_ppi"
"CBL","LYN","0","Binding","9160881","axel_ppi"
"CBL","LYN","0","Binding","8621719","axel_ppi"
"CBL","LYN","0","Binding","8627181","axel_ppi"
"SORBS1","ACTB","0","Binding","17082770","axel_ppi"
"SORBS1","ACTB","0","Binding","19116150","axel_ppi"
"SRC","HRAS","0","Binding","9020108","axel_ppi"
"SRC","HRAS","0","Binding","12695509","axel_ppi"
"CBL","INPP5D","0","Binding","22706086","axel_ppi"
"CBL","LYN","0","Binding","12244174","axel_ppi"
"CBL","LYN","0","Binding","7721825","axel_ppi"
"ITGB3","PTK2B","0","Binding","11683411","axel_ppi"
"SRC","ITGB4","+","Binding","10592173","axel_ppi"
"ITGB7","ITGA4","0","Binding","1542691","axel_ppi"
"ITGB7","ITGA4","0","direct_interaction","22232704","axel_ppi"
"ITGB7","ITGA4","0","Binding","9040004","axel_ppi"
"CAPN1","EZR","0","Binding","22805611","axel_ppi"
"TLN1","ITGB2","0","Binding","12606711","axel_ppi"
"ITGB3","PTPN1","0","Binding","16115959","axel_ppi"
"CTTN","SYK","0","Binding","10438543","axel_ppi"
"CTTN","SYK","0","Binding","11389697","axel_ppi"
"CBL","SORBS1","0","Binding","9447983","axel_ppi"
"CBL","SORBS1","0","Binding","12504111","axel_ppi"
"CBL","SORBS1","0","Binding","17548467","axel_ppi"
"CBL","SORBS1","0","Binding","15128873","axel_ppi"
"PTK2B","PXN","0","Binding","9366396","axel_ppi"
"PTK2B","PXN","0","Binding","9422762","axel_ppi"
"PTK2B","PXN","0","Binding","9099734","axel_ppi"
"PTK2B","PXN","0","Binding","11036077","axel_ppi"
"ITGB1","FERMT2","0","Binding","25808491","axel_ppi"
"ITGB1","FERMT2","0","Binding","21947080","axel_ppi"
"CRK","ASAP3","0","Binding","19380743","axel_ppi"
"VCL","ACTB","0","Binding","10592173","axel_ppi"
"VCL","ACTB","0","Binding","6789327","axel_ppi"
"RAC1","ACTB","0","Binding","11027608","axel_ppi"
"GNB2L1","ITGB5","0","Binding","9442085","axel_ppi"
"GNB2L1","ITGB5","0","Binding","10965141","axel_ppi"
"MSN","NF2","0","Binding","10567424","axel_ppi"
"PAK1","NCK2","0","Binding","26186194","axel_ppi"
"PAK1","NCK2","+","Binding","10592173","axel_ppi"
"PAK1","NCK2","0","Binding","10026169","axel_ppi"
"STAT3","CRK","0","Binding","24013128","axel_ppi"
"PTK2","ITGB8","+","Binding","10592173","axel_ppi"
"EZR","PTK2","0","Binding","11468295","axel_ppi"
"NCK2","PTK2","+","Binding","10592173","axel_ppi"
"CAV1","ITGB1","0","Binding","10592173","axel_ppi"
"ITGB1","ITGA1","0","Binding","8846021","axel_ppi"
"SOS1","CRKL","0","Binding","8978305","axel_ppi"
"PDPK1","PTPRO","0","Binding","19167335","axel_ppi"
"PTPN11","SRC","0","Binding","20308328","axel_ppi"
"SORBS3","ABL1","0","Binding","16831423","axel_ppi"
"PABPC1","IRS1","0","Binding","23770097","axel_ppi"
"CAV1","RHOA","0","Binding","20460433","axel_ppi"
"RHOA","VAV3","+","Binding","10592173","axel_ppi"
"RHOA","VAV3","0","Binding","10523675","axel_ppi"
"VAV2","RAC1","+","Binding","10592173","axel_ppi"
"ITGB7","CSK","+","Binding","10592173","axel_ppi"
"PTK2B","SHC1","0","Binding","10749687","axel_ppi"
"FYN","PLCG1","+","Phosphorylation","7682059","axel_ppi"
"PTK2","BCAR1","0","Binding","8662921","axel_ppi"
"PTK2","BCAR1","0","Binding","11577104","axel_ppi"
"PTK2","BCAR1","0","Binding","15673687","axel_ppi"
"PTK2","BCAR1","0","Binding","8810278","axel_ppi"
"PTK2","BCAR1","0","Binding","11839772","axel_ppi"
"PTK2","BCAR1","0","Binding","8649427","axel_ppi"
"PTK2","BCAR1","0","Binding","7479864","axel_ppi"
"PTK2","BCAR1","0","Binding","9285683","axel_ppi"
"PTK2","BCAR1","0","phosphorylation","10592173","axel_ppi"
"PTK2","BCAR1","0","Binding","9038154","axel_ppi"
"PTK2","BCAR1","0","Binding","12615911","axel_ppi"
"PTK2","BCAR1","0","Binding","21855630","axel_ppi"
"PTK2","BCAR1","0","Binding","12135674","axel_ppi"
"PTK2","BCAR1","0","Binding","10753828","axel_ppi"
"PTK2","PTPN1","0","Binding","9418872","axel_ppi"
"PTK2","BCAR1","0","Binding","11119718","axel_ppi"
"FHL2","ITGA3","0","Binding","10906324","axel_ppi"
"MAPK1","ROCK1","_","phosphorylation","10592173","axel_ppi"
"CFL1","LIMK1","0","Binding","16278681","axel_ppi"
"CFL1","LIMK1","0","Binding","12963706","axel_ppi"
"CFL1","LIMK1","0","Binding","10436159","axel_ppi"
"CFL1","LIMK1","_","phosphorylation","10592173","axel_ppi"
"CFL1","LIMK1","_","Phosphorylation","12361576","axel_ppi"
"CFL1","LIMK1","0","Binding","20133759","axel_ppi"
"CFL1","LIMK1","0","Binding","19424295","axel_ppi"
"CFL1","LIMK1","0","Binding","15220930","axel_ppi"
"CFL1","LIMK1","0","Binding","17853892","axel_ppi"
"PTPN1","INSR","0","Binding","16271887","axel_ppi"
"PTPN1","INSR","0","Binding","10807907","axel_ppi"
"PTPN1","INSR","_","Dephosphorylation","14722096","axel_ppi"
"PTPN1","INSR","0","Binding","16926280","axel_ppi"
"PTPN1","INSR","0","Binding","19029027","axel_ppi"
"PTPN1","INSR","0","Binding","8999839","axel_ppi"
"PTPN1","INSR","0","Binding","17481567","axel_ppi"
"PTPN1","INSR","0","Binding","17092689","axel_ppi"
"STAT3","PTPN6","0","Binding","15870198","axel_ppi"
"STAT3","PTPN6","0","Binding","10545526","axel_ppi"
"PTK2B","RASA1","0","Binding","10708762","axel_ppi"
"PTK2B","RASA1","0","Binding","10713673","axel_ppi"
"PTPN1","PLCG1","0","Binding","18515860","axel_ppi"
"PTK2","BCAR1","0","Binding","18233957","axel_ppi"
"CBL","INPPL1","0","Binding","19880507","axel_ppi"
"CBL","INPPL1","0","Binding","15668240","axel_ppi"
"CIB1","ITGA2","0","Binding","16582881","axel_ppi"
"PLD1","RHOA","0","Binding","11311142","axel_ppi"
"ITGB1","NF2","0","Binding","9858254","axel_ppi"
"CBL","INPPL1","0","Binding","19380743","axel_ppi"
"CRK","INPPL1","0","Binding","19380743","axel_ppi"
"SIRPA","PTPN11","0","Binding","11036942","axel_ppi"
"SIRPA","PTPN11","0","Binding","18233962","axel_ppi"
"SIRPA","PTPN11","0","Binding","18471880","axel_ppi"
"PTPN1","SRC","0","Binding","15866871","axel_ppi"
"PTPN1","SRC","0","Binding","11007774","axel_ppi"
"PTPN1","SRC","0","Binding","9600099","axel_ppi"
"PTPN1","SRC","0","Binding","16115959","axel_ppi"
"PTPN1","SRC","0","Binding","12857726","axel_ppi"
"PTPN1","SRC","0","Binding","17974954","axel_ppi"
"PTPN1","SRC","0","Binding","17092689","axel_ppi"
"PTPN1","SRC","0","Binding","16537444","axel_ppi"
"GIT1","PTK2B","0","Binding","12629171","axel_ppi"
"ENAH","ABI2","0","Binding","17101133","axel_ppi"
"ABI1","LYN","0","Binding","20598684","axel_ppi"
"ITGB6","PTK2","+","Binding","10592173","axel_ppi"
"ROCK1","ARHGAP24","0","phosphorylation_reaction","16862148","axel_ppi"
"PTEN","AKT1","0","Binding","20605778","axel_ppi"
"PTEN","AKT1","0","Binding","19903340","axel_ppi"
"PTEN","AKT1","0","Binding","20596030","axel_ppi"
"PTEN","AKT1","_","Binding","10592173","axel_ppi"
"STAT3","PTPN1","0","Binding","11970898","axel_ppi"
"STAT3","PTPN1","0","Binding","15821101","axel_ppi"
"PPP2CA","PPFIA1","0","Binding","19156129","axel_ppi"
"PPP2CA","PPFIA1","0","Binding","18782753","axel_ppi"
"PTPN1","INSR","0","Binding","16582879","axel_ppi"
"PLCG1","FLNA","0","Binding","17474147","axel_ppi"
"TLN1","PIP5K1C","0","direct_interaction","15618517","axel_ppi"
"SRC","SOS1","0","Binding","9856337","axel_ppi"
"FYN","PTK2B","0","Binding","10229084","axel_ppi"
"FYN","PTK2B","0","Binding","10867021","axel_ppi"
"FYN","PTK2B","0","Binding","9091579","axel_ppi"
"SRC","SOS1","0","Binding","17474147","axel_ppi"
"ARHGEF7","AKT1","0","Binding","15306850","axel_ppi"
"VAV1","PLCG1","0","Binding","9891995","axel_ppi"
"VAV1","PLCG1","0","Binding","17050525","axel_ppi"
"VAV1","PLCG1","0","Binding","11094073","axel_ppi"
"VAV1","PLCG1","+","Binding","10592173","axel_ppi"
"CRK","ARHGAP32","0","Binding","12454018","axel_ppi"
"GRB2","VAV3","0","Binding","11094073","axel_ppi"
"GRB2","VAV3","0","Binding","12577067","axel_ppi"
"GRB2","VAV3","0","Binding","20936779","axel_ppi"
"GRB2","VAV3","0","Binding","18654987","axel_ppi"
"ITGB5","ITGA3","0","Binding","16878156","axel_ppi"
"ITGA11","CSK","+","Binding","10592173","axel_ppi"
"MYH9","GRB2","0","Binding","20936779","axel_ppi"
"CRK","ARHGAP32","0","Binding","12819203","axel_ppi"
"ITGAV","ITGB5","0","Binding","1694173","axel_ppi"
"SIRPA","SHC1","0","Binding","18633106","axel_ppi"
"ITGB2","CSK","+","Binding","10592173","axel_ppi"
"ITGA5","CBL","0","Binding","15728256","axel_ppi"
"CRK","ACTB","0","Binding","19380743","axel_ppi"
"ABI1","CRKL","0","Binding","20598684","axel_ppi"
"ITGB5","CAV1","0","Binding","10592173","axel_ppi"
"ITGA4","PXN","0","Binding","11919182","axel_ppi"
"ITGA3","ITGB4","0","Binding","16878156","axel_ppi"
"ITGA3","ITGB4","0","Binding","25808491","axel_ppi"
"BCAR1","VCL","0","Binding","11577104","axel_ppi"
"INSR","CBL","+","phosphorylation","10592173","axel_ppi"
"ITGA4","PXN","0","Binding","11533025","axel_ppi"
"PTK2B","GIT1","0","Binding","12629171","axel_ppi"
"CTTN","ACTB","+","Binding","11018051","axel_ppi"
"ITGB8","SRC","+","Binding","10592173","axel_ppi"
"TGFB1I1","PTK2","0","Binding","9756887","axel_ppi"
"TGFB1I1","PTK2","0","Binding","11463817","axel_ppi"
"TGFB1I1","PTK2","0","Binding","9422762","axel_ppi"
"TGFB1I1","PTK2","0","Binding","21900206","axel_ppi"
"MARCKS","ACTB","0","Binding","1560845","axel_ppi"
"PAK1","ABI3","0","Binding","11956071","axel_ppi"
"SHC1","SRC","0","Binding","18840094","axel_ppi"
"GRB2","IRS1","+","Binding","8114695","axel_ppi"
"GRB2","IRS1","+","Binding","10592173","axel_ppi"
"GRB2","IRS1","0","Binding","7486683","axel_ppi"
"CRKL","BCAR1","0","Binding","8978305","axel_ppi"
"CRKL","BCAR1","0","Binding","23770091","axel_ppi"
"CRKL","BCAR1","0","Binding","18835194","axel_ppi"
"CRKL","BCAR1","0","Unknown","12345678","axel_ppi"
"GRB2","IRS1","+","Binding","8196603","axel_ppi"
"CRKL","BCAR1","+","Binding","10592173","axel_ppi"
"CRKL","BCAR1","0","Binding","9498705","axel_ppi"
"TNS1","CAPN2","0","Binding","11023826","axel_ppi"
"GRB2","IRS1","+","Binding","8265614","axel_ppi"
"GRB2","IRS1","0","Binding","8536716","axel_ppi"
"GRB2","IRS1","0","Binding","12679424","axel_ppi"
"DNM2","SRC","0","Binding","15834155","axel_ppi"
"GRB2","IRS1","0","Binding","11259577","axel_ppi"
"GRB2","IRS1","0","Binding","12173038","axel_ppi"
"SHC1","SRC","+","Phosphorylation","10329689","axel_ppi"
"PAK1","SH3KBP1","0","Binding","16407834","axel_ppi"
"VAV3","RAC1","+","Binding","10592173","axel_ppi"
"ARHGAP32","RAC1","0","Binding","12454018","axel_ppi"
"ARHGAP32","RAC1","0","Binding","12531901","axel_ppi"
"PTPN6","SYK","0","Binding","12763134","axel_ppi"
"PTPN6","SYK","_","dephosphorylation","10592173","axel_ppi"
"PTPN6","SYK","0","Binding","10747947","axel_ppi"
"PTPN6","SYK","0","Binding","10072516","axel_ppi"
"ARHGAP32","RAC1","0","Binding","12819203","axel_ppi"
"ITGB3","CSK","+","Binding","10592173","axel_ppi"
"INSR","PTPN2","0","Binding","15192089","axel_ppi"
"VAV3","RAC1","0","Binding","10523675","axel_ppi"
"PPP2CA","PAK1","0","Binding","9873003","axel_ppi"
"VAV1","HRAS","0","Binding","8554611","axel_ppi"
"GRB2","RAPGEF1","0","Binding","20936779","axel_ppi"
"GRB2","RAPGEF1","0","Binding","8943292","axel_ppi"
"GRB2","RAPGEF1","0","Binding","8621483","axel_ppi"
"GRB2","RAPGEF1","0","Binding","8631894","axel_ppi"
"PTPN11","BCAR1","0","Binding","9188452","axel_ppi"
"ACTB","PARVA","0","Binding","10592173","axel_ppi"
"FYN","RASA1","0","Binding","8395016","axel_ppi"
"FYN","RASA1","0","Binding","10708762","axel_ppi"
"VIM","PKD1","0","Binding","11581269","axel_ppi"
"PTPN6","GRB2","0","Binding","11328818","axel_ppi"
"PTPN6","GRB2","0","Binding","8632004","axel_ppi"
"PTPN6","GRB2","0","Binding","11171044","axel_ppi"
"PTPN6","GRB2","0","Binding","25535246","axel_ppi"
"PTPN6","GRB2","0","Binding","10747947","axel_ppi"
"PTPN6","GRB2","0","Binding","11964172","axel_ppi"
"ACTB","PARVB","0","Binding","10592173","axel_ppi"
"VAV1","GRB2","0","Binding","18692475","axel_ppi"
"VAV1","GRB2","0","direct_interaction","11406576","axel_ppi"
"VAV1","GRB2","0","Binding","15558030","axel_ppi"
"VAV1","GRB2","0","Binding","10207103","axel_ppi"
"VAV1","GRB2","0","Binding","7478592","axel_ppi"
"VAV1","GRB2","+","Binding","7809090","axel_ppi"
"VAV1","GRB2","0","Binding","8900182","axel_ppi"
"ITGB6","MAPK1","0","Binding","11857080","axel_ppi"
"FLNA","CRK","0","Binding","17474147","axel_ppi"
"SRC","SRCIN1","0","Binding","17525734","axel_ppi"
"PTK2B","TGFB1I1","0","Binding","9422762","axel_ppi"
"PTK2B","TGFB1I1","0","Binding","9858471","axel_ppi"
"PTK2B","TGFB1I1","0","Binding","11856738","axel_ppi"
"ACTB","MYH9","0","Binding","10592173","axel_ppi"
"PTK2B","ITGB1","+","Binding","9022036","axel_ppi"
"PTK2B","ITGB1","+","Binding","9366396","axel_ppi"
"CRK","TNS1","0","Binding","9162067","axel_ppi"
"MAPK1","VAV1","0","Binding","8900182","axel_ppi"
"RHOA","CASP8","0","Binding","15659383","axel_ppi"
"SHC1","ITGB4","0","Binding","11044453","axel_ppi"
"SLC9A1","RDX","0","Binding","11163215","axel_ppi"
"SLC9A1","RDX","0","Binding","11279064","axel_ppi"
"SLC9A1","RDX","+","Binding","10592173","axel_ppi"
"CRK","FLNA","0","Binding","17474147","axel_ppi"
"PTPN6","CEACAM1","0","Binding","18836450","axel_ppi"
"ARHGAP32","GAB1","0","Binding","12819203","axel_ppi"
"MAPK8","PDPK1","0","Binding","10357815","axel_ppi"
"CRKL","ARHGAP32","0","Binding","12446789","axel_ppi"
"GIT1","PAK1","0","Binding","16628223","axel_ppi"
"GAB1","GRB2","0","Binding","9804835","axel_ppi"
"GAB1","GRB2","0","Binding","11314042","axel_ppi"
"GAB1","GRB2","0","Binding","11445578","axel_ppi"
"GAB1","GRB2","+","Binding","10592173","axel_ppi"
"GAB1","GRB2","0","Binding","22536782","axel_ppi"
"GAB1","GRB2","0","Binding","10871282","axel_ppi"
"GAB1","GRB2","0","Binding","10913131","axel_ppi"
"GAB1","GRB2","0","Binding","19523899","axel_ppi"
"GAB1","GRB2","0","Binding","20005866","axel_ppi"
"GAB1","GRB2","0","Binding","19380743","axel_ppi"
"GAB1","GRB2","0","Binding","20936779","axel_ppi"
"GAB1","GRB2","0","Binding","9242692","axel_ppi"
"GAB1","GRB2","0","Binding","11960376","axel_ppi"
"ARHGAP26","PTK2B","0","Binding","9494093","axel_ppi"
"GAB1","GRB2","0","Binding","11027663","axel_ppi"
"PDPK1","PTPN12","0","Binding","19167335","axel_ppi"
"LYN","ITGB1","0","colocalization","20159608","axel_ppi"
"NCK2","ASAP2","0","Binding","26186194","axel_ppi"
"ABI1","VAV1","0","Binding","20598684","axel_ppi"
"PAK1","LIMK1","+","phosphorylation","10592173","axel_ppi"
"PAK1","LIMK1","0","Binding","11413130","axel_ppi"
"PTK2","RHOU","0","Binding","18086875","axel_ppi"
"ABI1","INPPL1","0","Binding","20598684","axel_ppi"
"ITGB4","FLNA","0","Binding","15225631","axel_ppi"
"CSK","ITGA11","+","Binding","10592173","axel_ppi"
"PXN","CSK","0","Binding","14665621","axel_ppi"
"PXN","CSK","+","Phosphorylation","9890993","axel_ppi"
"GRB2","ABL1","0","Binding","19380743","axel_ppi"
"GRB2","ABL1","0","Binding","9407116","axel_ppi"
"GRB2","ABL1","0","Binding","19823681","axel_ppi"
"GRB2","ABL1","0","Binding","7926767","axel_ppi"
"GRB2","ABL1","0","Binding","16955467","axel_ppi"
"GRB2","ABL1","+","Binding","10592173","axel_ppi"
"GRB2","ABL1","0","Binding","8596638","axel_ppi"
"GRB2","ABL1","0","Binding","8112292","axel_ppi"
"GRB2","ABL1","0","Binding","17474147","axel_ppi"
"GRB2","ABL1","0","Binding","8647802","axel_ppi"
"PTPN1","INSR","0","Binding","11579209","axel_ppi"
"PTPN1","INSR","0","Binding","11163213","axel_ppi"
"SHC1","INPPL1","0","Binding","19380743","axel_ppi"
"SHC1","INPPL1","0","Binding","17219406","axel_ppi"
"SHC1","INPPL1","0","Binding","9660833","axel_ppi"
"SHC1","INPPL1","0","Binding","20697350","axel_ppi"
"SHC1","INPPL1","0","Binding","10194451","axel_ppi"
"SHC1","INPPL1","0","Binding","11349134","axel_ppi"
"ARHGEF6","NCK2","0","Binding","26186194","axel_ppi"
"DNM2","CTTN","0","Binding","16636290","axel_ppi"
"DNM2","CTTN","0","Binding","16474900","axel_ppi"
"CSK","ITGB5","+","Binding","10592173","axel_ppi"
"ACTB","PFN1","0","Binding","17541406","axel_ppi"
"ACTB","AKT1","0","Binding","20856200","axel_ppi"
"ITGB1","SHC1","0","Binding","19889638","axel_ppi"
"BCAR3","PABPC1","0","Binding","17353931","axel_ppi"
"ITGAV","ITGB8","0","Binding","1918072","axel_ppi"
"ACTB","PFN1","0","Binding","19000816","axel_ppi"
"ACTB","PFN1","0","Binding","10592173","axel_ppi"
"ACTB","PFN1","0","Binding","9463375","axel_ppi"
"ACTB","PFN1","0","Binding","10411937","axel_ppi"
"FYN","SH3KBP1","0","Binding","15707590","axel_ppi"
"VASP","LPP","0","Binding","10637295","axel_ppi"
"TRIP6","PXN","0","Binding","14688263","axel_ppi"
"SRC","CBL","0","Binding","12941616","axel_ppi"
"SRC","CBL","0","Binding","16636290","axel_ppi"
"GRB2","CBL","0","Binding","8621719","axel_ppi"
"GRB2","CBL","0","Binding","19380743","axel_ppi"
"GRB2","CBL","0","Binding","17072306","axel_ppi"
"GRB2","CBL","0","Binding","15210722","axel_ppi"
"GRB2","CBL","0","Binding","8943292","axel_ppi"
"SRC","CBL","0","Binding","8849724","axel_ppi"
"GRB2","CBL","0","Binding","8695851","axel_ppi"
"GRB2","CBL","0","Binding","7642581","axel_ppi"
"GRB2","CBL","0","Binding","16906159","axel_ppi"
"GRB2","CBL","0","Binding","10086340","axel_ppi"
"GRB2","CBL","0","Binding","10025673","axel_ppi"
"GRB2","CBL","0","Binding","9541596","axel_ppi"
"GRB2","CBL","0","Binding","11823423","axel_ppi"
"GRB2","CBL","0","Binding","10204582","axel_ppi"
"GRB2","CBL","0","Binding","18273061","axel_ppi"
"SRC","CBL","0","Binding","8621719","axel_ppi"
"SRC","CBL","0","Binding","18273061","axel_ppi"
"SRC","CBL","0","Binding","17141222","axel_ppi"
"CSK","PTK2","+","Phosphorylation","9890993","axel_ppi"
"SRC","CBL","0","Binding","9013636","axel_ppi"
"SRC","CBL","0","Binding","10829062","axel_ppi"
"SRC","CBL","0","Binding","17094785","axel_ppi"
"SRC","CBL","0","Binding","11994282","axel_ppi"
"GRB2","CBL","0","Binding","9174058","axel_ppi"
"FYN","ARHGAP32","0","Binding","12788081","axel_ppi"
"RHOA","ARHGEF2","+","Binding","10592173","axel_ppi"
"RHOA","ARHGEF2","0","Binding","22072711","axel_ppi"
"RHOA","ARHGEF2","0","Binding","9857026","axel_ppi"
"RHOA","ARHGEF2","0","Binding","24525234","axel_ppi"
"ABL1","CRKL","0","Binding","19823681","axel_ppi"
"ABL1","CRKL","0","Binding","8978305","axel_ppi"
"ABL1","CRKL","0","phosphorylation_reaction","24412932","axel_ppi"
"ABL1","CRKL","+","Binding","10592173","axel_ppi"
"ABL1","CRKL","0","Binding","18768933","axel_ppi"
"ABL1","CRKL","0","Binding","14604282","axel_ppi"
"ABL1","CRKL","0","Binding","16443220","axel_ppi"
"ABL1","CRKL","0","Binding","7926767","axel_ppi"
"ABL1","CRKL","0","Binding","9820532","axel_ppi"
"ABL1","SORBS3","0","Binding","16831423","axel_ppi"
"ACTB","ZYX","0","Binding","10592173","axel_ppi"
"VAV1","SYK","+","phosphorylation","10592173","axel_ppi"
"VAV1","SYK","0","Binding","11331248","axel_ppi"
"VAV1","SYK","0","Binding","9151714","axel_ppi"
"VAV1","SYK","0","Binding","8900182","axel_ppi"
"SHC1","LRP1","0","Binding","12789267","axel_ppi"
"SHC1","LRP1","0","Binding","11854294","axel_ppi"
"NEDD9","RAPGEF1","0","Binding","9497377","axel_ppi"
"NEDD9","RAPGEF1","0","Binding","9498705","axel_ppi"
"INSR","VAV1","0","Binding","11094073","axel_ppi"
"PRKCA","PDPK1","+","Phosphorylation","9889098","axel_ppi"
"ABL1","CRKL","0","Binding","16955467","axel_ppi"
"ABL1","CRKL","0","Binding","18835194","axel_ppi"
"ITGA8","CSK","+","Binding","10592173","axel_ppi"
"ENAH","PFN1","0","Binding","9473484","axel_ppi"
"RASA1","HRAS","0","Binding","11389730","axel_ppi"
"RASA1","HRAS","0","Binding","9219684","axel_ppi"
"RASA1","HRAS","0","Binding","1904555","axel_ppi"
"PTPN11","GRB7","0","Binding","8622870","axel_ppi"
"RASA1","HRAS","_","Binding","10592173","axel_ppi"
"KCNH2","CALR","0","Binding","22242185","axel_ppi"
"VCL","NDEL1","0","Binding","19492042","axel_ppi"
"PLCG1","CBL","0","Binding","17372230","axel_ppi"
"PLCG1","CBL","0","Binding","9712732","axel_ppi"
"HRAS","PRKCA","0","phosphorylation","10592173","axel_ppi"
"PLCG1","CBL","0","Binding","12941616","axel_ppi"
"PLCG1","CBL","0","Binding","7517397","axel_ppi"
"GRB2","CBL","0","Binding","9367879","axel_ppi"
"GRB2","CBL","0","Binding","9434624","axel_ppi"
"GRB2","CBL","0","Binding","9716598","axel_ppi"
"PLCG1","GIT1","0","Binding","14523024","axel_ppi"
"VASP","VCL","0","Binding","10882740","axel_ppi"
"SYNM","GRB2","0","Binding","17437541","axel_ppi"
"SYNM","GRB2","0","Binding","8552632","axel_ppi"
"GRB2","VAV1","0","Binding","10207103","axel_ppi"
"PTK2B","PTEN","0","Binding","15717329","axel_ppi"
"GRB2","FYN","0","Binding","7499280","axel_ppi"
"CEACAM1","ITGB3","0","Binding","11485912","axel_ppi"
"CSK","ITGAX","+","Binding","10592173","axel_ppi"
"GRB2","VAV1","0","Binding","15558030","axel_ppi"
"GRB2","VAV1","0","direct_interaction","11406576","axel_ppi"
"GRB2","VAV1","0","Binding","18692475","axel_ppi"
"GIT1","PTK2","0","Binding","12629171","axel_ppi"
"GIT1","PTK2","0","Binding","12473661","axel_ppi"
"NF2","EZR","0","Binding","10036239","axel_ppi"
"NF2","EZR","0","Binding","17891137","axel_ppi"
"GRB2","VAV1","0","Binding","7478592","axel_ppi"
"GRB2","VAV1","+","Binding","7809090","axel_ppi"
"GRB2","VAV1","0","Binding","8900182","axel_ppi"
"FYN","GRB2","0","Binding","7499280","axel_ppi"
"ZYX","ACTB","0","Binding","10592173","axel_ppi"
"PARVB","ILK","0","Binding","10592173","axel_ppi"
"PARVB","ILK","0","Binding","19798050","axel_ppi"
"PARVB","ILK","0","Binding","23612611","axel_ppi"
"PARVB","ILK","0","Binding","18325335","axel_ppi"
"PARVB","ILK","0","Binding","17353931","axel_ppi"
"CRKL","GAB1","0","Binding","10871282","axel_ppi"
